link,start,end,video,utterance,arousal,valence
https://www.youtube.com/watch?v=_bg0TrqHcBs,0,16.2317160648,1f61459b0,utterance_1.mp4,0.5556266332678437,0.3199479472779345
https://www.youtube.com/watch?v=_bg0TrqHcBs,16.5650161893,21.8644881694,1f61459b0,utterance_2.mp4,0.644199463555027,0.027184564006804593
https://www.youtube.com/watch?v=_bg0TrqHcBs,22.1644582814,29.4304009963,1f61459b0,utterance_3.mp4,0.6318216369852041,-0.159827418148524
https://www.youtube.com/watch?v=_bg0TrqHcBs,29.630381071,33.0967023661,1f61459b0,utterance_4.mp4,0.5367226962991722,-0.07406955387180582
https://www.youtube.com/watch?v=_bg0TrqHcBs,33.3633424658,38.2628542964,1f61459b0,utterance_5.mp4,0.624870051332246,0.33666213315812055
https://www.youtube.com/watch?v=_bg0TrqHcBs,38.9627845579,55.6277907846,1f61459b0,utterance_6.mp4,0.6852442957736502,-0.13532021295594232
https://www.youtube.com/watch?v=_bg0TrqHcBs,56.2277310087,61.6605230386,1f61459b0,utterance_7.mp4,0.6170195664001026,-0.01532295369258372
https://www.youtube.com/watch?v=_bg0TrqHcBs,62.060483188,63.9602938979,1f61459b0,utterance_8.mp4,0.45423185252645915,-0.29313481857757245
https://www.youtube.com/watch?v=_bg0TrqHcBs,64.1602739726,78.8588094645,1f61459b0,utterance_9.mp4,0.6368761593214767,0.07479395099066664
https://www.youtube.com/watch?v=_bg0TrqHcBs,79.558739726,83.1917110834,1f61459b0,utterance_10.mp4,0.6098170318784085,-0.3760964943991989
https://www.youtube.com/watch?v=_bg0TrqHcBs,83.525011208,84.7582216687,1f61459b0,utterance_11.mp4,0.6128491813974363,0.12192143344759215
https://www.youtube.com/watch?v=_bg0TrqHcBs,84.924871731,87.3912926526,1f61459b0,utterance_12.mp4,0.7046373627693087,-0.09494436223745495
https://www.youtube.com/watch?v=_bg0TrqHcBs,87.7245927771,92.9240747198,1f61459b0,utterance_13.mp4,0.7162160731865057,-0.11313065640095696
https://www.youtube.com/watch?v=_bg0TrqHcBs,93.0907247821,104.3229389788,1f61459b0,utterance_14.mp4,0.6300557397542494,0.0572124056397592
https://www.youtube.com/watch?v=XPXSWf1h0h4,31.7326124489,39.4991026806,a1b44e5f3,utterance_10.mp4,0.32057230747345933,-0.04147737846566299
https://www.youtube.com/watch?v=XPXSWf1h0h4,55.5320717856,61.0986119945,a1b44e5f3,utterance_14.mp4,0.35844872001094535,-0.10162675668355554
https://www.youtube.com/watch?v=XPXSWf1h0h4,64.865193094,70.3317355747,a1b44e5f3,utterance_16.mp4,0.4148441542123096,-0.056474035989319056
https://www.youtube.com/watch?v=XPXSWf1h0h4,82.1314675148,83.4647705588,a1b44e5f3,utterance_19.mp4,0.4402456367438382,0.1294710604686562
https://www.youtube.com/watch?v=XPXSWf1h0h4,85.16473194,88.0313334848,a1b44e5f3,utterance_21.mp4,0.3634695652097452,0.14092674696104066
https://www.youtube.com/watch?v=XPXSWf1h0h4,88.1979963653,91.9645774648,a1b44e5f3,utterance_22.mp4,0.640368752460045,0.2418532577190441
https://www.youtube.com/watch?v=XPXSWf1h0h4,93.5645411177,101.2976987733,a1b44e5f3,utterance_23.mp4,0.5823912308842257,0.11361995433769947
